id,na_article_url,na_image_url,na_publication,na_title,na_publish_date,na_author,na_blurb,na_feature,na_order
,http://www.kcsourcelink.com/blog/entrepreneurs-in-action/2016/04/18/how-they-funded-it-blooom-flourishes-with-the-right-funders?utm_content=buffer6a314&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,,KC Source Link,How They Funded It: blooom Flourishes with the Right Funders,2016-04-18,Sarah Mole,,0,
,http://www.benefitnews.com/slideshow/top-benefit-technology-innovators,,Employee Benefits News,Top benefit technology innovators,2016-04-21,EBN Staff,,0,
,live https://itunes.apple.com/us/podcast/1-most-important-piece-money/id957163760?i=367516373&mt=2,,Millennial Money,#1 Most Important Piece of Money Advice,2016-04-25,Shanna Game,,0,
,http://wnpr.org/post/young-and-debt-free-it-possible?utm_content=buffer6755d&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer#stream/0,,WNPR,Young and Debt-Free: Is It Possible?,2016-05-05,Lucy Nalpathanchil & Lydia Brown,,0,
,http://www.nytimes.com/2016/05/07/your-money/jamie-dimon-wants-to-protect-you-from-innovative-start-ups.html,,NY Times,Jamie Dimon Wants to Protect You From Innovative Start-Ups,2016-05-06,Ron Lieber,,0,
,http://socialmediabusinessschool.com/whos-acting-human-online-blooom/?utm_content=buffer21555&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,,Social Media School of Business,Who's Acting Human Online,2016-05-12,,,0,
,http://media.610sports.com/a/115198328/the-money-episode.htm?pageid=1503304,,610 Radio Stick to Sports,The Money Episode,2016-05-16,Carrington Harrison,,1,
,http://www.advisoryhq.com/articles/robo-advisors-questions/,,Advisory HQ,5 Questions to Ask Before Choosing a Robo Advisor,2016-05-24,,,0,
,http://www.ft.com/intl/cms/s/0/012d7ec8-27f3-11e6-8b18-91555f2f4fde.html#axzz4AKwil4fs,,The Financial Times,Sheila Bair joins fintech and pensions wave,2016-06-01,Ben McLannahan,,1,
,http://www.businessinsider.com/sheila-bair-joins-blooom-advisory-board-2016-5,,Business Insider,A former chair of the FDIC has become the first board member of an ex-Goldman banker's 401(k) startup,2016-06-01,Kathleen Elkins,,1,
,http://wealthmanagement.com/technology/blooom-grows-300-million-aum-recruits-former-fdic-chair,,WealthManagement,"Blooom Grows to $300 million AUM, Recruits Former FDIC Chair",2016-06-01,Ryan Neal,,1,
,http://www.startlandnews.com/2016/06/300m-management-blooom-fastest-growing-robo-advisor/,,Startland News,"With $300M under management, Blooom is the fastest-growing robo advisor",2016-06-02,Bobby Burch,,1,
,http://finovate.com/robo-advisor-blooom-reaches-300-million-assets/,,Finovate,Robo-advisor blooom Reaches $300 Million in Assets - Finovate,2016-06-02,David Penn,,1,
,http://www.bizjournals.com/kansascity/news/2016/06/02/blooom-is-the-fastest-growing-robo-adviser-in.html,,Kansas City Business Journal,Blooom is the fastest-growing robo-adviser in history,2016-06-02,James Dornbrook,,1,
,http://blogs.wsj.com/moneybeat/2016/06/03/wealth-adviser-daily-briefing-prepping-a-practice-for-sale/,,The Wall Street Journal,Wealth Adviser Daily Briefing:,2016-06-03,Michael Wursthorn,,0,
,http://www.businessinsider.com/robo-advisor-blooom-could-challenge-betterment-2016-6,,Business Insider,This robo-advisor is on the rise and could challenge Betterment one day,2016-06-03,Andrew Meola,,0,
,http://www.investmentnews.com/article/20160614/FREE/160619964/former-fdic-chairwoman-sheila-bair-joins-retirement-robos-advisory,,Investment News,Former FDIC Chairwoman Shelia Bair joins retirement robo's advisory board,2016-06-14,Alessandra Malito,,0,
,http://www.financial-planning.com/news/digital-advice-leaders-tell-financial-industry-to-get-hyperpersonal,,Financial Planning,Digital advice leaders tell financial industry to get 'hyperpersonal',2016-06-17,Michelle Zhou,,0,
,http://bit.ly/28RAR64,,Policy Genius,5 Ways to Supercharge your 401k Savings,2016-06-20,Shannah Game,,0,
,http://www.wisebread.com/best-online-sites-for-building-wealth,,WiseBread,Best Online Sites for Building Wealth,2016-06-21,Shannah Game,,1,
,http://www.investmentnews.com/section/40-under-40/2016/profile/1/Greg-Smith,,Investment News,"40 under 40: blooom President, Greg Smith",2016-06-27,Alessandra Malito,,1,
,http://www.clark.com/whats-the-future-of-robo-advising,,Clark,Does robo-advising have a future?,2016-06-29,Theo Thimou,,0,
,http://www.bpinetwork.org/thought-leadership/views-commentary/422/former_sheriff_of_wall_street_joins_disruptive_financial_services_startup_as_it_break_growth_records,,BPI Network,Former Sheriff Of Wall Street Joins Disruptive Financial Services Startup As It Break Growth Records,2016-06-30,Rowan Philp,,0,
,https://medium.com/the-mission/the-anatomy-of-a-killer-startup-name-5b695cab5707#.2xqeg7tkj,,Medium,The Anatomy of a Killer Startup Name,2016-07-06,Ryan McCready,,0,
,https://www.nerdwallet.com/blog/investing/obstacles-retirement/?utm_content=buffera5e62&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,,Nerdwallet,5 Obstacles Between You and Retirement (and How to Overcome Them),2016-07-20,Arielle O'Shea,,1,
,http://www.moneyweb.co.za/mymoney/moneyweb-financial-planning/former-goldman-sachs-exec-blooom-ing/,,Moneyweb,Former Goldman Sachs exec Blooom-ing,2016-08-11,Inge Lamprecht,,1,
,http://www.employeebenefitadviser.com/list/6-401-k-robo-advisers-to-know,,EBN,Six 401(k) robo-advisors to know,2016-09-20,Amanda Eisenberg,,1,
,http://www.bizjournals.com/kansascity/news/2016/08/29/2016-best-places-to-work-honorees.html?ana=twt,,Kansas City Business Journal,The employees have spoken: 2016 Best Places to Work,2016-09-29,Katie Bean,,0,
,https://www.stackingbenjamins.com/master-money-like-olympian/,,Stacking Benjamins (podcast),Master Money Like an Olympian,2016-09-02,Joe Saul-Sehy,,0,
